name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
MUTA Restaurant by ATUM,彌敦道132號美麗華廣場1期地庫B131號舖,尖沙咀,日本菜,西式,,$101-200,657,11
Mr. Crab by The Captain's House,莊士敦道74-78號地下C號舖及1樓,灣仔,西式,美國菜,,$201-400,1337,33
Sky726,彌敦道726號25樓,旺角,法國菜,西式,,$201-400,1108,58
韓屋,金巴利道69-71A號美園大廈地舖,尖沙咀,韓國菜,,,$101-200,929,70
Non Kitchen,鴻圖道12精棉工業大廈1樓,觀塘,意大利菜,西式,,$101-200,1096,8
走過十萬八千里找到你,彌敦道575號Ladder Dundas 10樓,旺角,意大利菜,西式,,$201-400,625,46
部屋咖啡室,登打士街43H號登打士廣場12樓,旺角,西式,樓上cafe,,$101-200,1029,28
MEMOIR,登龍街28號永光中心17樓,銅鑼灣,西式,海鮮,,$201-400,689,6
hoo韓國包車,厚福街12-12A號藍馬商業大廈22樓,尖沙咀,韓國菜,酒,,$101-200,651,25
磯野水產,軒尼詩道525號澳門逸園中心19樓,銅鑼灣,日本菜,海鮮,,$201-400,1112,12
鬼金棒,金馬倫道20號地舖,尖沙咀,日本菜,拉麵,,$101-200,727,11
蘇山雞飯,元州街411號義華大廈地舖,長沙灣,新加坡菜,馬來西亞菜,,$51-100,614,9
李家 (山林道),山林道54-56號利雅商業大廈地下2號舖,尖沙咀,韓國菜,韓式炸雞,,$201-400,650,10
壹.01,駿業街56號中海日升中心2樓D號舖,觀塘,港式,台灣菜,,$51-100,868,10
J.moon,西洋菜南街1A-1K號百寶利商業中心4樓10-11號舖,旺角,多國菜,酒,,$101-200,782,23
南瀛水產,金馬倫道5號太興廣場5樓,尖沙咀,日本菜,海鮮,,$201-400,975,36
Café Crêpe (K11購物藝術館),河內道18號K11購物藝術館地下G29號舖,尖沙咀,多國菜,薄餅,,$101-200,551,12
阿閒泰,河內道18號K11購物藝術館2樓219號舖,尖沙咀,泰國菜,西式,,$101-200,787,45
LAB EAT Restaurant & Bar (金巴利道),金巴利道87-89號僑豐大廈地下1-2號舖,尖沙咀,西式,海鮮,,$201-400,1097,47
初見,海壩街22號華達樓地下F號舖,荃灣,日本菜,火鍋,,$101-200,909,31
Ann Mamma Thai kitchen by 張秀玲,曹公坊11號地舖,荃灣,泰國菜,咖喱,,$101-200,656,19
鬼金棒,謝斐道530號地舖,銅鑼灣,日本菜,拉麵,,$101-200,684,8
Peko Peko Eatery (海之戀商場),大河道100號海之戀商場1樓1006-1007號舖,荃灣,西式,日式西餐,,$101-200,568,30
Seoulmate (MONTEREY Place),澳南海岸唐俊街23號MONTEREY Place 地下G25B-G26A號舖,將軍澳,韓國菜,甜品,糖水,$101-200,684,31
小魚兒 (金馬大廈),金馬倫道16號金馬大廈1樓,尖沙咀,川菜 (四川),京川滬,,$101-200,762,9
平昌,西洋菜南街1N號兆萬中心13樓,旺角,韓國菜,烤肉,,$201-400,802,58
