name,address,region,type1,type2,type3,person_price,well_rating,bad_rating
Dough Bros Pizza & Doughnuts (嘉榮大廈),海灣街4-6號嘉榮大廈地下7號舖,鰂魚涌,意大利菜,薄餅,,$101-200,75,0
Holy Gaw,汕頭街15號地下4號舖,灣仔,菲律賓菜,意大利菜,,$101-200,127,3
Emmer Pizzeria & Café,金鐘道88號太古廣場L4樓407號舖,金鐘,意大利菜,西式,,$101-200,66,6
Zecond,蘇杭街126-128號地下C號舖,上環,意大利菜,西式,,$101-200,100,0
Motorino (些利街),蘇豪些利街14號地舖,中環,意大利菜,薄餅,,$101-200,83,11
MARKA HOUSE,大河道98號如心廣場二期1樓119號舖,荃灣,意大利菜,漢堡包,,$101-200,151,5
JACOMAX,寶琳欣景路8號新都城中心二期UG樓UG092-94號舖,將軍澳,意大利菜,薄餅,,$101-200,69,1
Café Bohème,西九文化區藝術公園地下GF-06號舖,尖沙咀,意大利菜,咖啡店,,$101-200,60,1
Dough Bros Pizza & Doughnuts (皇后大道中),皇后大道中151-155號地舖,中環,意大利菜,薄餅,,$101-200,70,0
意粉狂熱 (置富都會),都會道6號置富都會7樓752-753號舖,紅磡,意大利菜,薄餅,,$101-200,185,7
PizzaExpress (將軍澳中心),唐德街9號將軍澳中心B1樓B03A&B號舖,將軍澳,意大利菜,薄餅,,$101-200,91,4
Pizza Maru (海運大廈),廣東道3-27號海港城海運大廈3樓LCX 34號舖,尖沙咀,韓國菜,意大利菜,,$101-200,136,4
Motorino (船街),船街15號地舖,灣仔,意大利菜,薄餅,,$101-200,89,11
Interval (The LOHAS康城),康城路1號The LOHAS康城4樓417號舖,將軍澳,意大利菜,西式,,$101-200,88,20
Coffeelin (昌明街),昌明街8號地舖,跑馬地,意大利菜,西式,,$101-200,82,4
Cafe Roma,珀麗灣臨海廣場1樓7-8號舖,馬灣,意大利菜,西式,,$101-200,108,10
PizzaExpress (奧海城3期),海泓道1號奧海城3期地下G18號舖,大角咀,意大利菜,薄餅,,$101-200,60,3
Pasticceria Giovanni Pina 1920 (如心廣場一期),楊屋道8號如心廣場一期1樓109-111號舖,荃灣,意大利菜,,,$101-200,116,11
小酒窩餐廳,廟街283號寶發大廈地下2號舖,佐敦,印度菜,意大利菜,,$101-200,302,11
La Camionetta,蘇豪伊利近街12A號地舖,中環,意大利菜,薄餅,,$101-200,45,1
PizzaExpress (康怡廣場北座),康山道1-2號康怡廣場北座地下G2號舖,太古,意大利菜,薄餅,,$101-200,65,6
PIZZA CASA by House of Joy,饒宗頤文化館H座,美孚,意大利菜,薄餅,,$101-200,79,1
Casa Di Thali,海庭道8號富榮花園二期地下57號舖,大角咀,意大利菜,素食,,$101-200,56,1
Hugo Cafe,駿景路1號駿景廣場地下G92-93號舖,火炭,意大利菜,西式,,$101-200,65,3
Little Mario's Pizzeria (珀麗灣),珀麗路8號珀麗灣臨海廣場2樓1B號舖,馬灣,意大利菜,薄餅,,$101-200,47,2
PizzaExpress (新城市廣場一期),沙田正街18號新城市廣場一期1樓121號舖,沙田,意大利菜,薄餅,,$101-200,93,15
PizzaExpress (青衣城2),青敬路31-33號青衣城2 3樓325號舖,青衣,意大利菜,薄餅,,$101-200,54,2
PizzaExpress (時代廣場),勿地臣街1號時代廣場12樓1203號舖,銅鑼灣,意大利菜,薄餅,,$101-200,82,9
PizzaExpress (百合苑商場),黃埔天地百合苑商場(第9期)地下G40號舖,紅磡,意大利菜,薄餅,,$101-200,42,2
Pasta de Show,堅尼地城山市街1C號地舖,西環,意大利菜,西式,,$101-200,31,1
Dough Bros Pizza & Doughnuts (威德閣),宏安道18號威德閣地下5號舖,北角,意大利菜,薄餅,,$101-200,29,1
Amaroni's New York Italian Restaurant & Café (MOKO新世紀廣場),太子道西193號MOKO新世紀廣場5樓526號舖,旺角,意大利菜,薄餅,,$101-200,42,25
HABITŪ table (奧海城2期),海庭道18號奧海城2期地下G68-69號舖,大角咀,意大利菜,咖啡店,,$101-200,57,19
Antipasto Italian Restaurant,赫德道1-3號利威商業大廈地下3號舖,尖沙咀,意大利菜,薄餅,,$101-200,40,0
HABITŪ table (美麗華廣場1期),彌敦道132號美麗華廣場1期地庫1樓B142號舖,尖沙咀,意大利菜,薄餅,,$101-200,122,28
PizzaExpress (北角匯二期),渣華道123號北角匯二期2樓218-219號舖,北角,意大利菜,薄餅,,$101-200,32,1
德意餐廳,翠怡街3號翠怡花園地下18-19號舖,大埔,德國菜,意大利菜,,$101-200,36,2
PizzaExpress (帝國中心),麼地道68號帝國中心地下G31-33及G49-51號舖,尖沙咀,意大利菜,薄餅,,$101-200,58,6
Dough Bros Pizza & Doughnuts (北街),堅尼地城北街4-8號地下12A號舖,西環,意大利菜,薄餅,,$101-200,40,2
Riverside Grill,唐俊街21號翩滙坊地下20號舖,將軍澳,意大利菜,西式,,$101-200,56,5
HABITŪ table (希慎廣場),軒尼詩道500號希慎廣場8樓804號舖,銅鑼灣,意大利菜,無肉餐單,,$101-200,105,22
Pizzeria Italia (金豪閣),堅尼地城卑路乍街144-148號金豪閣地舖及1樓,西環,意大利菜,薄餅,,$101-200,28,2
Rossi Pizza and Smoked Meat,福民路58-72號高富樓地下22號舖,西貢,意大利菜,燒烤,,$101-200,26,0
意粉屋,沙田正街18號新城市廣場一期7樓710號舖,沙田,意大利菜,薄餅,,$101-200,41,5
IL Cibo Italian Restaurant,大全街55號大同新邨大滿樓地下3A號舖,大角咀,意大利菜,薄餅,,$101-200,51,1
