TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RR,英記,"G/F, 32 HIGH STREET, WESTERN, HONG KONG",,114.14369895682437,22.28505012990456,57.0,11,0,1,4,10,0,0,1,0,50.83872493378736,32480,2.068075117370892,0.5781309118426031,0.7472569050321605,0.4354899735149451,0.4655712050078247,0.264,1
RR,德麗食店,"G/F, REAR PORTION, WING WAH BUILDING, 425J QUEEN'S ROAD WEST, WESTERN, HONG KONG",,114.14880939176425,22.286240433761108,53.0,26,0,0,0,13,1,0,0,4,38.67391838741396,40080,2.1918103448275863,0.6047197640117994,0.8446411012782694,0.3726647000983284,0.4935344827586206,0.388,0
RR,Kuen Kee Noodle,"G/F, 303 QUEEN'S ROAD CENTRAL, WESTERN, HONG KONG",,114.1349690544554,22.28619240007226,68.0,26,0,1,2,4,1,0,1,1,50.53864148327846,29860,2.61131221719457,0.518974181251083,0.920291110726044,0.4371859296482412,0.6895927601809955,0.333,1
RR,CENTRE STREET BAR,"PART OF UG/F, 152 CONNAUGHT ROAD WEST, WESTERN, HONG KONG",,114.14385995682994,22.288470960256674,65.0,8,1,1,0,0,0,0,1,2,39.2206498951782,21430,2.301568154402895,0.509958071278826,0.7887840670859538,0.429769392033543,0.4185765983112183,0.309,1
RR,Lobby Bar,"1/F(PORTION), 508 QUEEN'S ROAD WEST, HONG KONG",,114.13492396200768,22.285962455107807,69.0,32,0,1,2,4,1,0,1,1,52.03708535221767,30290,2.5528068506184587,0.5296310100633619,0.9228475587029444,0.4252702199030935,0.7221693625118935,0.365,1
RR,Club Lounge,"28/F, 508 QUEEN'S ROAD WEST, WESTERN, HONG KONG",,114.14740344934197,22.286589620930013,55.0,26,0,0,4,13,3,0,2,1,50.58577712609971,31700,2.1446540880503147,0.5483870967741935,0.7913000977517106,0.5019550342130987,0.3385744234800839,0.314,1
RR,有記,"SHOP 1B, G/F, 1 EASTERN STREET, WESTERN, HONG KONG",,114.14371441179212,22.28778634311247,33.0,15,0,2,0,6,1,0,1,4,50.80778301886792,30040,2.217573221757322,0.5641509433962264,0.8349056603773585,0.3933962264150943,0.4769874476987448,0.311,1
RR,Coffee-Book,"G/F., 10 PARK ROAD, WESTERN, HONG KONG",,114.14324258232736,22.283988101847683,114.0,5,1,1,1,5,1,0,0,0,50.46056210335449,71870,2.701775872627066,0.5700362647325476,0.7914777878513146,0.4286038077969175,0.7152480097979179,0.266,1
RR,永記,"G/F, 21 SUTHERLAND STREET, WESTERN, HONG KONG",,114.1457222112784,22.28736554655513,50.0,9,0,0,0,7,1,0,1,2,36.27600170502984,53200,2.612472160356347,0.5652173913043478,0.7016197783461211,0.4424552429667519,0.3630289532293986,0.297,1
RR,PANASH,"LG/F, SHOP LG05(MAJOR PORTION), THE WESTWOOD, 8 BELCHER'S STREET, WESTERN, HONG KONG",,114.13156214828211,22.284647921232803,8.0,14,0,0,4,1,0,0,0,0,40.313988095238095,49140,2.481536189069424,0.5970238095238095,0.8160714285714286,0.4613095238095238,0.6676514032496307,0.356,1
RR,Saint's Alp Teahouse,"SHOP 221, 2/F, THE WESTWOOD, 8 BELCHER'S  STREET, WESTERN, HONG KONG",,114.13156214828211,22.284647921232803,8.0,14,0,0,4,1,0,0,0,0,40.313988095238095,49140,2.481536189069424,0.5970238095238095,0.8160714285714286,0.4613095238095238,0.6676514032496307,0.356,1
RR,Zenaji Ramen,"G/F, 269 QUEEN'S ROAD WEST, SAI YING PUN, WESTERN, HONG KONG",,114.14276196348612,22.28703802092329,32.0,40,2,0,3,8,1,0,1,1,39.889612807148175,30000,1.96058394160584,0.5949367088607594,0.7676842889054356,0.4028294862248697,0.4759124087591241,0.293,1
RR,越潮,"SHOP B, G/F, 406 DES VOEUX ROAD WEST, SAI WAN, WESTERN, HONG KONG",,114.13648886333056,22.286603125877026,29.0,25,0,1,2,9,2,0,1,1,51.80633578040217,20040,2.119756427604872,0.5043089690392595,0.8343440791573572,0.4423874880306415,0.3782138024357239,0.391,1
RR,Honeymoon Dessert,"G/F, SHOP 4,5 & 6, WESTERN MARKET, 323 DES VOEUX ROAD CENTRAL, WESTERN, HONG KONG",,114.15029000000004,22.287090000000035,51.0,14,0,0,0,1,3,0,0,3,39.77806563039724,35300,2.3229689067201607,0.5790155440414507,0.8113126079447323,0.42573402417962,0.5436308926780341,0.316,1
RR,翁記潮州麵,"SHOP NO.19, G/F, DRAGONFAIR GARDEN, 455-485 QUEEN'S ROAD WEST, WESTERN, HONG KONG",,114.13439095678478,22.286438463389143,68.0,22,0,0,7,1,1,0,2,2,50.53864148327846,29860,2.61131221719457,0.518974181251083,0.920291110726044,0.4371859296482412,0.6895927601809955,0.333,1
RR,上海維記,"SHOP A, G/F, HONG YU COURT, 9 WATER STREET, SAI YING PUN, WESTERN, HONG KONG",,114.13888969185712,22.28618143232828,36.0,40,0,0,2,5,0,0,2,0,51.55572565829761,34810,2.81551724137931,0.5082669932639314,0.8983466013472137,0.5235762400489896,0.65,0.348,1
RR,Culture Club Gallery,"G/F., 15 ELGIN STREET, CENTRAL, HONG KONG",,114.15231364506872,22.28273584148043,62.0,119,0,0,0,7,1,0,0,8,50.67512161223071,47630,2.167168674698796,0.6007644197359278,0.6848505906879777,0.4798471160528144,0.4269578313253012,0.281,1
RR,LOCK CHA TEA SHOP,"MUSEUM OF TEA WARE, THE K.S.LO GALLERY, HONG KONG PARK, ADMIRALTY, HONG KONG",,114.1626822269348,22.277911008465068,73.0,2,0,0,0,3,2,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
