TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio,survive
RL,JACKPOT RESTAURANT,"G/F., 18-20 WING LOK STREET, CENTRAL, HONG KONG",,114.1526762,22.2860873,61.0,25,1,7,3,0,9,0,0,1,50.23044925124792,42090,2.047700170357752,0.6468386023294509,0.7133943427620633,0.4779534109816972,0.3364565587734242,0.271,1
RL,TERRACE ROOM,"LB/F (PORTION) & 1/F (PORTION), BISHOP LEI INTERNATIONAL HOUSE, 4 ROBINSON ROAD, MID-LEVELS, CENTRAL, HONG KONG",#F#G#H,114.153343,22.278663,128.0,1,1,0,5,2,0,0,0,1,39.72919968304279,70000,2.5685210312075983,0.5166402535657686,0.6811938721605917,0.390121500264131,0.6132971506105834,0.291,1
RL,GENKI SUSHI,"SHOP C1, G/F, FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, CENTRAL, HONG KONG",#G#H,114.1640653,22.279965,73.0,16,3,2,0,0,10,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,彩星,"G/F, 126 CAINE ROAD, CENTRAL, HONG KONG",,114.1496734,22.2827264,121.0,1,0,0,11,2,1,0,0,0,39.33494742667405,61330,2.4029255319148937,0.6109573879358052,0.6629773104593248,0.3840619811842833,0.5904255319148937,0.358,1
RL,Golden Restaurant,"1/F, SHUN TAK CENTRE, EAST WING, 200 CONNAUGHT ROAD CENTRAL, SHEUNG WAN, CENTRAL, HONG KONG",,114.151085,22.2880105,71.0,20,1,0,0,0,1,0,0,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,TWO MACDONNELL ROAD,"8/F (PORTION), 2 MACDONNELL ROAD, CENTRAL, HONG KONG",,114.1555239,22.2762114,136.0,3,1,0,0,2,0,0,0,2,37.95914932680539,104750,3.476595744680851,0.6223990208078335,0.6070991432068543,0.328641370869033,0.425531914893617,0.484,1
RL,東方茶餐廳,"SHOP 1, 2 & 3, G/F, 43 CAINE ROAD, CENTRAL, HONG KONG",,114.1532787,22.2806311,73.0,19,1,0,3,3,1,0,0,0,50.24724448897796,45040,2.257918552036199,0.5871743486973948,0.6683366733466933,0.3912825651302605,0.4886877828054298,0.308,1
RL,川粵樓,"7/F, CODA PLAZA, 51 GARDEN ROAD, CENTRAL, HONG KONG",,114.1562208,22.276362,134.0,3,0,0,0,4,0,0,0,2,38.75262631315658,95300,3.015082956259427,0.5577788894447223,0.6278139069534767,0.3516758379189594,0.4404223227752639,0.238,1
RL,TOKIO JOE,"LG/F, 58-62 D'AGUILAR STREET, CENTRAL, HONG KONG",#G#H,114.155431,22.2804988,71.0,129,0,0,2,3,3,0,0,11,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
RL,CHIU LUNG FAST FOOD,"G/F, 21-23 CHIU LUNG STREET, CENTRAL, HONG KONG",,114.1565823,22.2826288,71.0,45,0,3,0,0,8,0,1,0,39.93439197659841,37040,2.088132635253054,0.5754283326368576,0.6836606769745089,0.4358545758462181,0.3926701570680628,0.214,1
