TYPE,SS,ADR,INFO,lng,lat,census_subnit,number_of_nearby_restaurants,number_of_bus_stops,number_of_MTR_stations,number_of_schools,number_of_commercial_facilities,number_of_government_facilities,number_of_religious_facilities,number_of_medical_facilities,number_of_hotel_facilities,mean_median_age,median_hs_income,mean_hs_size,labour_force_percent,chinese_percent,pop_m_percent,ten_oc_percent,rent_to_income_ratio
RL,No Record,"SHOP NO. 8, G/F AND OUTSIDE SEATING ACCOMMODATIONAT SHOPFRONT, TSUEN TAK GARDENS, 208 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",['A'],114.10639456198852,22.37666198163137,977,4,1,0,3,0,0,0,1,0,38.5139751552795,41680,2.5266792215944758,0.5840993788819876,0.9503105590062112,0.4795031055900621,0.7953546767106089,0.324
RL,OMA'S KITCHEN,"SHOP NOS. 4-5 AND THE OUTSIDE SEATINGACCOMMODATION AT SHOP FRONT, LEVEL 1, BEACH COMMERCIAL COMPLEX, PARK ISLAND, MA WAN, TSUEN WAN, NEW TERRITORIES",['A'],114.062297424,22.35264629900007,1741,0,1,0,0,1,1,0,0,0,38.2863860187278,56720,2.5312627707396813,0.5796738779463998,0.8264449467226348,0.4300936390054892,0.695136902329383,0.246
RL,YAT YUET HIN,"SHOP NOS. 126-128, 130-133 & 135, 1/F, CITYWALK 2, 18 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11452190676448,22.36796009930221,1014,12,0,0,0,5,1,0,0,1,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,SAPPORO RAMEN NO. 1 & KARAMI CURRY,"SHOP UG59-60, UG/F, CITYWALK 2, 18 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11452190676448,22.36796009930221,1014,12,0,0,0,5,1,0,0,1,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,McDonald's Restaurant,"SHOP UNITS S1-2, 2ND FLOOR, LUK YEUNG GALLERIA, TSUEN WAN, NEW TERRITORIES",[],114.11928919986276,22.372741189080266,1003,13,2,2,2,1,5,0,0,0,49.8834081788649,40040,2.7879595098561536,0.51490540798777,0.9384674183068985,0.44897764188801836,0.6819392647842302,0.237
RL,Lucky Dragon Golden Restaurant,"SHOP NOS. S215A & S215, 2/F, SMARTLAND, 36-60 TEXACO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12161056609898,22.36848028021328,996,8,0,0,3,7,1,0,2,0,50.25028304557034,28140,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444
RL,漁屋,"SHOP NO. UG9-UG11, UPPER G/F, CITYWALK 2, 18 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES","['F', 'G', 'H']",114.11452190676448,22.36796009930221,1014,12,0,0,0,5,1,0,0,1,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,EDOMAE,"G/F, (PORTION) & 1/F, CHAU'S BUILDING, 4 SHIU WO STREET, TSUEN WAN, NEW TERRITORIES","['F', 'G', 'H']",114.1169000000001,22.372400000000027,993,9,4,0,0,0,0,0,1,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,ISTIMEWA WARUNG INDONESIA,"G/F, WINNING HEIGHTS, 5 FU WAH STREET, TSUEN WAN, NEW TERRITORIES",[],114.11597700515574,22.37323365750408,990,7,2,2,0,0,2,0,1,0,49.59867629362214,21140,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316
RL,牛大人(荃灣),"16/F, TAI HUNG FAI (TSUEN WAN) CENTRE, 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.1167183844916,22.370066220113102,995,16,0,0,0,3,2,0,1,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,華香雞,"SHOP 121A, G/F, TOWER 6, RIVIERA GARDENS, YI HONG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11265609511764,22.36180828528564,1008,1,0,0,6,6,0,0,0,0,49.34173783996608,42630,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192
RL,KITCHEN ONE,"FLAT 8, G/F, TAK YAN HOUSE STAGE 16, 53-75 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11184506216637,22.371259677396736,997,10,0,0,0,1,0,0,0,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,上海一品香,"NO. 55 HEUNG WO STREET, G/F., TSUEN WAN, NEW TERRITORIES",[],114.11213800968238,22.37172110116656,997,12,0,0,0,4,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,唐順興燒味,"G/F, 42 SAN TSUEN STREET, TSUEN WAN, NEW TERRITORIES",[],114.11477738717326,22.369510416113545,999,8,2,0,3,4,0,0,1,4,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,悅園,"G/F., NO. 33 TSO KUNG SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11118196980618,22.37313290702791,991,7,1,0,0,4,0,0,1,0,36.88699165797706,17500,2.705218617771509,0.4692387904066736,0.8852971845672576,0.49061522419186654,0.3300423131170663,0.308
RL,木子甜品,"SHOP NO. 31-33, G/F, SMARTLAND, 16 TSUEN WAH STREET, TSUEN WAN, NEW TERRITORIES",[],114.12126410281586,22.368777081983136,996,9,0,0,0,9,1,0,2,1,50.25028304557034,28140,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444
RL,Kowloon Roasted King,"SHOP A, G/F, WAH KING HOUSE, 64-68 CHUEN LUNG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11611086414943,22.370890119285733,995,3,0,0,0,5,1,0,4,10,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,CHEESE PIZZA,"PORTION B OF SHOP NOS. 18-27, UG/F, PHASE 2 (BLOCK 15-17), TSUEN WAN CENTRE SHOPPING ARCADE 2, 87-105 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.10555167780518,22.37652099801997,977,1,1,0,3,0,1,0,1,0,38.5139751552795,41680,2.5266792215944758,0.5840993788819876,0.9503105590062112,0.4795031055900621,0.7953546767106089,0.324
RL,龍井,"SHOP NO. 1 (PORTION) & NO. 3, G/F, BLOCK 2, HARMONY GARDEN, 28 LUEN YAN STREET, TSUEN WAN, NEW TERRITORIES",[],114.11724954569588,22.36770315206037,1007,4,2,0,2,3,0,0,0,0,50.48813056379822,28640,2.858960763520679,0.5133531157270029,0.9488130563798219,0.435459940652819,0.5726405090137858,0.18
RL,合利芳坊小菜館,"G/F, 17 TSO KUNG SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11150668473516,22.37295780907057,991,8,1,0,0,4,0,0,1,0,36.88699165797706,17500,2.705218617771509,0.4692387904066736,0.8852971845672576,0.49061522419186654,0.3300423131170663,0.308
RL,Memorable After A Try,"SHOP NO. C13, UG/F, TSUEN WAN CENTRE SHOPPING ARCADE PHASE 1, 86 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.10884375409636,22.378634411086622,979,4,0,0,0,2,1,0,3,0,39.093134524834184,31900,2.6611425491781193,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325
RL,Home Bar And Restaurant,"SHOP A, G/F & C/L, KAM TSUEN MANSION, 407 & 411 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.1126126768592,22.37466557993305,989,3,0,0,3,4,0,0,0,0,52.33464265850945,15570,2.268054241564175,0.4140711902113459,0.9760845383759733,0.457174638487208,0.013875748975086723,0.114
RL,GAIA VEGGIE,"SHOP 433, LEVEL 4, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11080629290586,22.37086882925168,998,31,1,0,3,4,1,0,0,0,49.816964285714285,39130,2.966887417218543,0.5416666666666666,0.9553571428571429,0.5379464285714286,0.8013245033112583,0.214
RL,Fairwood Fast Food,"SHOP NO. 5, LEVEL 3, BELLAGIO MALL, 33 CASTLE PEAK ROAD, SHAM TSENG, TSUEN WAN, NEW TERRITORIES",[],114.06178808494552,22.367243572309263,1062,1,3,0,1,3,1,0,0,0,38.81605414042673,62150,2.8831978319783196,0.5804116928282733,0.876962120500047,0.45455399943603725,0.7474254742547426,0.262
RL,連和燒味餐廳,"G/F, 142 HOI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.11708006361364,22.370964969681097,995,5,3,0,0,3,0,0,0,3,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,TASTE FOOD LIMITED,"SHOP 10 & 11, G/F, ON FOO BUILDING, 28 & 30 LO TAK COURT, TSUEN WAN, NEW TERRITORIES",[],114.11548431688708,22.372742897073152,990,23,0,0,2,0,1,0,0,0,49.59867629362214,21140,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316
RL,TSUI WAH RESTAURANT,"SHOP A, B & C, G/F, CHAU WAN BUILDING, 27, 31 & 33 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.11725558066615,22.37082155531776,995,21,3,0,0,3,0,0,0,4,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,Golden Home Thai Food,"G/F, 69-71 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11539613926568,22.36841205152143,999,7,1,0,2,0,1,0,0,3,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,TAI HING FOOD RESTAURANT,"G/F, 323 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11848545731908,22.368969531901627,1013,4,0,0,9,0,0,0,2,0,35.807063851181496,17250,2.4616336633663365,0.4072398190045249,0.918552036199095,0.48366013071895425,0.2264851485148515,0.365
RL,迦南鍋,"G/F, 68 SHAM TSENG VILLAGE, TSUEN WAN, NEW TERRITORIES",[],114.05902851096312,22.36755554674545,1061,8,1,0,0,6,1,0,0,0,37.308040770101925,29390,3.109154929577465,0.49037372593431483,0.956964892412231,0.4881087202718007,0.47183098591549294,0.227
RL,Tai Hing,"SHOP A, G/F, SHUI SANG BUILDING, 13-19 CHUNG ON STREET & 38-40 SHIU WO STREET, TSUEN WAN, NEW TERRITORIES",[],114.11779,22.371830000000045,993,12,6,0,0,2,2,0,0,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,Tsui Yuen Restaurant,"G/F, 7-9 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.1180082755713,22.372000637637456,993,9,4,0,0,2,7,0,0,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,名廚燴,"SHOP 1 & 2, G/F, CHELSEA COURT TOWER SOUTH, CHELSEA COURT, 90-114 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11658972227788,22.366887215695755,1015,0,0,0,0,0,0,0,0,0,36.786254599972736,50170,2.5273854633138133,0.6108763799918223,0.9302167098269047,0.4343737222297942,0.7034102652428522,0.326
RL,Tai Hing,"SHOP 38, 2/F, NAN FUNG CENTRE, 264-298 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11634329432452,22.37376947066457,1001,8,3,6,0,0,2,0,1,0,38.995377813504824,33230,2.5387755102040814,0.5265273311897106,0.9726688102893891,0.4565916398713826,0.7408163265306122,0.301
RL,利源點心小廚,"SHOP NOS. 1-9, UPPER GROUND FLOOR, BLOCK 15-17, TSUEN WAN CENTRE PHASE II, TSUEN WAN, NEW TERRITORIES",[],114.11836023168564,22.371293037371387,994,14,2,0,0,2,2,0,0,1,52.57441956882255,32330,2.817757009345794,0.5306799336650083,0.961028192371476,0.45107794361525705,0.780373831775701,0.446
RL,新卓蕾茶餐廳,"SHOP 119A, G/F, PODIUM B, RIVIERA GARDENS, 2-12 YI HONG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11380592459524,22.362930622120828,1008,11,2,0,2,1,1,0,0,0,49.34173783996608,42630,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192
RL,MI-NE SUSHI,"SHOP 442-445, LEVEL 4, TSUEN WAN PLAZA, 4-30 TAI PA STREET, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.11080629290586,22.37086882925168,998,31,1,0,3,4,1,0,0,0,49.816964285714285,39130,2.966887417218543,0.5416666666666666,0.9553571428571429,0.5379464285714286,0.8013245033112583,0.214
RL,生龍,"G/F, 28 SHIU WO STREET, TSUEN WAN, NEW TERRITORIES",[],114.11748172441378,22.371934588240435,993,14,6,0,0,2,2,0,0,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,FRIENDS,"G/F, 20 SAM PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11664797650496,22.368850299328955,1006,14,5,0,3,4,2,0,0,2,34.61874441465594,18040,2.3961456102783725,0.4865951742627346,0.9714030384271671,0.483467381590706,0.24411134903640258,0.283
RL,喜登堡餐廳,"SHOP 106, BLOCK 11, G/F., RIVIERA GARDEN, TSUEN WAN, NEW TERRITORIES",[],114.1136727371666,22.36340260956819,1008,12,1,0,2,1,0,0,0,0,49.34173783996608,42630,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192
RL,LIN HEUNG TSAN,"SHOP UNITS P9 & P9A, LUK YEUNG GALLERIA, TSUEN WAN, NEW TERRITORIES",[],114.11928919986276,22.372741189080266,1003,13,2,2,2,1,5,0,0,0,49.8834081788649,40040,2.7879595098561536,0.51490540798777,0.9384674183068985,0.44897764188801836,0.6819392647842302,0.237
RL,津津廚房,"SHOP 119C, G/F, PODIUM B, TOWER 6, RIVIERA GARDENS, 2-12 YI HONG STREET, TSUEN WAN, NEW TERRITORIES",[],114.11265609511764,22.36180828528564,1008,1,0,0,6,6,0,0,0,0,49.34173783996608,42630,3.0197548929943294,0.5439457265733842,0.9420316191168454,0.4377006481313223,0.7987927565392354,0.192
RL,OOTOYA GOHANDOKORO,"SHOP 118, 1/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.11340761655634,22.369975905106383,999,26,0,0,0,1,0,0,0,0,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,天恩健康素食,"SHOP 45 & 62, 1/F, CHEONG ON BUILDING, 186-200 SAI LAU KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12009,22.37131000000005,1002,18,0,0,3,1,0,0,1,1,51.67946058091286,30150,3.055790363482671,0.49017980636237896,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448
RL,Sammy Cafe,"SHOP 30-60C, 2/F, WALDORF CENTRE, 130-142 CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11963872337697,22.37164486775717,1002,12,0,0,0,1,0,0,0,1,51.67946058091286,30150,3.055790363482671,0.49017980636237896,0.94716459197787,0.4553250345781466,0.7396449704142012,0.448
RL,開心美食,"SHOP C, G/F, 28 SAM PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.11649500677196,22.36860538011817,1006,12,5,0,3,3,1,0,0,2,34.61874441465594,18040,2.3961456102783725,0.4865951742627346,0.9714030384271671,0.483467381590706,0.24411134903640258,0.283
RL,GALAXIA,"G/F, 14 TAI YUK ROAD, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05777667900009,22.348759905000065,1742,0,0,0,0,2,0,0,0,9,37.75284512617516,40280,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339
RL,GALAXIA,"G/F, 14 TAI YUK ROAD, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05777667900009,22.348759905000065,1742,0,0,0,0,2,0,0,0,9,37.75284512617516,40280,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339
RL,GALAXIA,"G/F, 14 TAI YUK ROAD, MA WAN, TSUEN WAN, NEW TERRITORIES",[],114.05777667900009,22.348759905000065,1742,0,0,0,0,2,0,0,0,9,37.75284512617516,40280,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339
RL,JOYWILL DEVELOPMENT LIMITED,"12/F, TAI HUNG FAI (TSUEN WAN) CENTRE, 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.1167183844916,22.370066220113102,995,16,0,0,0,3,2,0,1,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,BE DIFFERENT,"LOT 421, G/F, 349 MA WAN MAIN STREET VILLAGE NORTH, MA WAN , TSUEN WAN, NEW TERRITORIES",[],114.05993845037182,22.353320351035023,1742,1,1,0,0,0,0,0,0,0,37.75284512617516,40280,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339
RL,BE DIFFERENT,"LOT 421, G/F, 349 MA WAN MAIN STREET VILLAGE NORTH, MA WAN , TSUEN WAN, NEW TERRITORIES",[],114.05993845037182,22.353320351035023,1742,1,1,0,0,0,0,0,0,0,37.75284512617516,40280,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339
RL,BE DIFFERENT,"LOT 421, G/F, 349 MA WAN MAIN STREET VILLAGE NORTH, MA WAN , TSUEN WAN, NEW TERRITORIES",[],114.05993845037182,22.353320351035023,1742,1,1,0,0,0,0,0,0,0,37.75284512617516,40280,2.764705882352941,0.5556655121227115,0.731321128154379,0.4715487382483919,0.4774281805745554,0.339
RL,Vision 8,"G/F, 34 SHIU WO STREET, TSUEN WAN, NEW TERRITORIES",['F'],114.11764106439318,22.37183966318696,993,12,7,0,0,2,2,0,0,3,39.74262339055794,18530,2.341708542713568,0.43508583690987124,0.9721030042918455,0.47585836909871243,0.49120603015075376,0.324
RL,Tai Hing,"SHOP 1, G/F, BELVEDERE SQUARE OF BELVEDERE GARDEN PHASE 1, TSUEN WAN, NEW TERRITORIES",[],114.10292000000004,22.373150000000063,982,2,0,0,4,0,1,0,0,0,49.567049511097316,47070,3.18566131025958,0.5095452428992705,0.9232500388018005,0.45964612758031975,0.872929542645241,0.295
RL,OS Plus,"SHOP UG41, UG/F, CITYWALK, 1 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES","['F', 'G']",114.11340761655634,22.369975905106383,999,26,0,0,0,1,0,0,0,0,37.50052410901468,23520,2.846911369740376,0.509748427672956,0.9410901467505242,0.4329140461215933,0.41539838854073413,0.312
RL,銀龍茶餐廳,"SHOP G3, G/F, PLAZA 328, BO SHEK MANSION, 328 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.117519191521,22.368722768672143,1007,7,3,0,4,6,2,0,0,0,50.48813056379822,28640,2.858960763520679,0.5133531157270029,0.9488130563798219,0.435459940652819,0.5726405090137858,0.18
RL,STAR SEAFOOD RESTAURANT,"SHOP 426, 2/F-3/F, SHEK WAI KOK SHOPPING CENTRE, SHEK WAI KOK ESTATE, TSUEN WAN, NEW TERRITORIES",[],114.1082782270891,22.35367792302448,1081,1,3,0,5,4,1,0,0,0,50.92326418289585,32400,2.912453760789149,0.5067739204064352,0.9686706181202371,0.49237933954276036,0.9482120838471023,
RL,YONEKO TEI,"SHOP F, G/F, 27 TSO KUNG SQUARE, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.1112994840887,22.37306903692572,991,8,1,0,0,4,0,0,1,0,36.88699165797706,17500,2.705218617771509,0.4692387904066736,0.8852971845672576,0.49061522419186654,0.3300423131170663,0.308
RL,SWEET HEART FOOD WORLD,"G/F, 32 TSO KUNG SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.1115938565282,22.373732422652523,991,6,1,0,0,6,0,0,0,0,36.88699165797706,17500,2.705218617771509,0.4692387904066736,0.8852971845672576,0.49061522419186654,0.3300423131170663,0.308
RL,The Palace,"SHOP 101, 1/F, BO SHEK MANSION, 328 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",[],114.117519191521,22.368722768672143,1007,7,3,0,4,6,2,0,0,0,50.48813056379822,28640,2.858960763520679,0.5133531157270029,0.9488130563798219,0.435459940652819,0.5726405090137858,0.18
RL,C. Y. RESTAURANT,"SHOP NO.4, G/F, TAK FAM BUILDING, 2-20 TAK WAH STREET, TSUEN WAN, NEW TERRITORIES",[],114.11837733076813,22.369258330375544,1013,4,0,0,8,2,0,0,2,0,35.807063851181496,17250,2.4616336633663365,0.4072398190045249,0.918552036199095,0.48366013071895425,0.2264851485148515,0.365
RL,Rich Kitchen,"G/F AND THE OUTSIDE SEATING ACCOMMODATION AT SIDE, 144 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",['A'],114.11186408908657,22.37205516191761,997,12,0,0,0,2,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
RL,Tai Fu,"SHOP 7, G/F, PO SHING MANSION, 77-89 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11536294692912,22.371306616054525,995,13,0,0,2,6,1,0,5,10,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,ARTCO‧33,"SHOP 21, G/F, BO SHEK MANSION, 328 SHA TSUI ROAD, TSUEN WAN, NEW TERRITORIES",['F'],114.117519191521,22.368722768672143,1007,7,3,0,4,6,2,0,0,0,50.48813056379822,28640,2.858960763520679,0.5133531157270029,0.9488130563798219,0.435459940652819,0.5726405090137858,0.18
RL,威威粉麵餐廳,"SHOP NO. 229, 1/F, SHEK WAI KOK SHOPPING CENTRE, SHEK WAI KOK ESTATE, 3 SHEK WAI KOK ROAD, TSUEN WAN, NEW TERRITORIES",[],114.1082782270891,22.35367792302448,1081,1,3,0,5,4,1,0,0,0,50.92326418289585,32400,2.912453760789149,0.5067739204064352,0.9686706181202371,0.49237933954276036,0.9482120838471023,
RL,Italian Tomato,"SHOP G08, G/F, AEON SKYLINE STORE, SKYLINE PLAZA, 88 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11245000000008,22.369560000000035,1014,6,0,0,0,0,0,0,0,0,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,勝康餐廳,"SHOP C15, UG/F, TSUEN WAN CENTRE SHOPPING ARCADE, 86 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.10884375409636,22.378634411086622,979,4,0,0,0,2,1,0,3,0,39.093134524834184,31900,2.6611425491781193,0.5120247076097413,0.9548883600830338,0.4730899701280948,0.7631366208569119,0.325
RL,PINEAPPLE CANTEEN,"SHOP G01, G/F, AEON SKYLINE STORE, SKYLINE PLAZA, 88 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES","['G', 'H']",114.11245000000008,22.369560000000035,1014,6,0,0,0,0,0,0,0,0,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,普洱,"SHOP NO. 30, G/F, SMARTLAND, 36-60 TEXACO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.12161056609898,22.36848028021328,996,8,0,0,3,7,1,0,2,0,50.25028304557034,28140,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444
RL,MONSTER SPICY (TSUEN WAN),"SHOP F1, G/F, TIN PO BUILDING, 91-97 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11489138105644,22.37108449562038,995,5,0,0,5,4,1,0,4,11,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,嘉記燒味餐廳,"SHOP NOS. 6 & 7, G/F, TAI WAH BUILDING, 9-31 TAI PEI SQUARE, TSUEN WAN, NEW TERRITORIES",[],114.1168783950232,22.370594280013165,995,3,2,0,0,3,0,0,0,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,金裝燉奶佬,"SHOP 1A-1E, G/F, 99 PLAZA, 99 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.1149023613496,22.370931735435008,995,5,0,0,4,4,1,0,4,11,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,金雞,"SHOP 2, G/F, FORTUNE MANSION, 3-5 CHEONG TAI STREET, 2-6 ON WING STREET, 10-18 TSUEN HING PATH, TSUEN WAN, NEW TERRITORIES",[],114.11579050781012,22.37249936087639,990,18,0,0,1,2,1,0,0,0,49.59867629362214,21140,2.738958470665788,0.5345367027677497,0.8974729241877256,0.5181708784596871,0.5346077785102176,0.316
RL,Gin Curry,"SHOP R01, B2/F, AEON TAI WO HAU STORE, PANDA PLACE, PANDA HOTEL, 3 TSUEN WAH STREET, TSUEN WAN, NEW TERRITORIES",[],114.1206700327437,22.36910355853341,996,19,0,0,0,6,0,0,0,1,50.25028304557034,28140,2.8309294871794872,0.5162751202943674,0.9736767619586754,0.4656099632040759,0.7620192307692307,0.444
RL,Gin Curry,"SHOP G04, G/F, AEON SKYLINE STORE, SKYLINE PLAZA, 88 TAI HO ROAD, TSUEN WAN, NEW TERRITORIES",[],114.11245000000008,22.369560000000035,1014,6,0,0,0,0,0,0,0,0,37.40216787103947,60500,2.669139465875371,0.6281267370761534,0.896609227348527,0.44691495275152865,0.7752225519287834,0.32
RL,Spicy Horse Hotpot,"8/F, TAI HUNG FAI (TSUEN WAN) CENTRE, 55 CHUNG ON STREET, TSUEN WAN, NEW TERRITORIES",[],114.1167183844916,22.370066220113102,995,16,0,0,0,3,2,0,1,7,37.48310741425344,18110,2.7292600896860986,0.42411172725405627,0.911275415896488,0.47196549599507087,0.3811659192825112,0.335
RL,今福上海美食坊,"SHOP 14 & 15, G/F, TSUEN TAK GARDENS, 208 TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",[],114.10639456198852,22.37666198163137,977,4,1,0,3,0,0,0,1,0,38.5139751552795,41680,2.5266792215944758,0.5840993788819876,0.9503105590062112,0.4795031055900621,0.7953546767106089,0.324
RL,正品蕃茄湯麵店(大壩店),"SHOP 1, G/F, ON HONG BUILDING, 29-47 TAI PA STREET, TSUEN WAN, NEW TERRITORIES",[],114.111255479097,22.37158057855981,997,9,0,0,1,0,0,0,1,0,36.811619718309856,21300,2.837162837162837,0.4524647887323944,0.9846830985915493,0.47746478873239434,0.4125874125874126,0.282
