TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,lat,lng,census_subnit
RL,61,2261819768,VICTORIAN ERA,"2/F, PAK SHING BUILDING, NOS. 31-37 JORDAN ROAD, NO. 75 PARKES STREET, JORDAN, KOWLOON",#F#G,2024-10-06,22.30551165170293,114.17039709825552,489.0
RL,61,2261819786,THE FLY PLACE,"SHOP 29G, G/F, KOWLOON CENTRE, NOS. 29, 31, 35, 37 & 39 ASHLEY ROAD, TSIM SHA TSUI, KOWLOON",,2024-10-11,22.29758111401348,114.1702658376518,399.0
RL,61,2261819801,SEOLHAMYEOK,"SHOPS OT G47, OT G47A & OT G48, G/F., OCEAN TERMINAL, HARBOUR CITY, TSIM SHA TSUI, KOWLOON",#G,2024-10-11,22.294985070961985,114.166718700047,398.0
RL,61,2261819810,MASUZUSHI,"21/F, LADDER DUNDAS, 575 NATHAN ROAD, YAU MA TEI, KOWLOON",#G#H,2024-10-18,22.31512397635501,114.17001513492784,509.0
RL,61,2261819838,CHUNG FAT NOODLE,"SHOP A, G/F, DAO HING BUILDING, 32-34 JORDAN ROAD, KOWLOON",,2024-10-25,22.305308348641404,114.16898759741753,392.0
RL,61,2261819847,SAVVY,"3/F (PORTION A), THE MARCO POLO PRINCE, 23 CANTON ROAD, TSIM SHA TSUI, KOWLOON",#F#G#H,2024-10-28,22.2990917844228,114.1682336452269,398.0
RL,61,2261819856,Nichigyu - Mira Place 1 Shop,"SHOP NO. 213, 2/F, MIRA PLACE 1, 132 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2024-11-07,22.30086044981185,114.17218562875512,403.0
RL,61,2261819865,Akam Laksa Auntie 13 Kitchen,"SHOP NOS. 749-751, LEVEL 7, FORTUNE METROPOLIS, 6 METROPOLIS DRIVE, HUNG HOM, KOWLOON",,2024-11-09,22.30091308641916,114.1837286888168,414.0
RL,61,2261819883,LOG YE DIM SUM,"SHOP C, GROUND FLOOR, HANYEE BUILDING, NOS. 19 & 21 HANKOW ROAD, KOWLOON",,2024-11-10,22.296845560100323,114.17095969159668,399.0
RL,61,2261819892,Sushi Wadatsumi,"SHOP NO. 607, LEVEL 6, K11 MUSEA, VICTORIA DOCKSIDE, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON",#G#H,2024-11-14,22.293429892646813,114.17402185228376,414.0
RL,61,2261819908,Something Wild - The Farm,"SHOP 307, 3/F, ISQUARE, 63 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",#F#G,2024-11-17,22.297024597552152,114.17185462739872,400.0
RL,61,2261819917,Pleasant Port Cafe,"SHOP NO.52-53, UPPER GROUND, CHINA HONG KONG CITY, 33 CANTON ROAD, TSIM SHA TSUI, KOWLOON",,2024-11-17,22.30019987202259,114.16745790008804,398.0
RL,61,2261819926,MAN-O-SALWA RESTAURANT,"G/F, 165 TEMPLE STREET, JORDAN, KOWLOON",,2024-11-21,22.307023956583365,114.16998529535256,486.0
RL,61,2261819935,Pastime café,"G/F, NO. 31 BATTERY STREET AND FRONT PORTION OF G/F, NO. 29 BATTERY STREET, JORDAN, KOWLOON",,2024-11-22,22.30646957750733,114.16845660385138,485.0
