TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
RL,18,2213235462,大家樂,香港德輔道中199號無限極廣場 第一層108號舖,,2024-05-19
RL,18,2213235523,The Italian Club,香港中環依利近街 32號地下及閣樓(部份),,2024-05-22
RL,18,2214018079,平福,香港卑路乍街121號 地下及閣樓,,2024-06-30
RL,18,2214018130,興利,香港卑路乍街181號地下,,2024-06-30
RL,18,2214018167,明發,香港般咸道49號地下,,2024-06-30
RL,18,2214018200,心美菜館茶餐廳,香港加多近街37號地下,,2024-06-30
RL,18,2214018398,聯華,香港西營盤正街28號 地下及閣樓,,2024-06-30
RL,18,2214019674,海悅華宴,香港山道 16號地下，4-16號閣樓,,2024-06-30
RL,18,2214033979,叁去壹,香港薄扶林道11號 地下及閣樓,,2024-06-30
RL,18,2214036312,新寶馬,香港高街63號地下,,2024-06-30
RL,18,2214036464,森美,香港皇后大道西 204-206號地下,,2024-06-30
RL,18,2214036525,兄弟記,香港皇后大道西 210-218號地下A舖,,2024-06-30
RL,18,2214045356,英記燒臘飯店,香港皇后大道西 554號地下,,2024-06-30
RL,18,2214046030,營利,香港皇后大道西326號地下,,2024-06-30
RL,18,2214046076,McDonald's,香港西營盤 皇后大道西484-496號閣樓(部份),,2024-06-30
RL,18,2214068816,怡富,香港第三街67號地下,,2024-06-30
RL,18,2214069332,高昇茶餐廳,香港荷蘭街7號地下,,2024-06-30
RL,18,2214071737,天虹,香港列堤頓道51號地下,,2024-06-30
RL,18,2214076857,金興飯店,香港皇后大道西406-408號地下,,2024-06-30
RL,18,2214077878,陳泗記,香港西邊街29號地下,,2024-06-30
RL,18,2214080504,新波記,香港太平山街25號地下,,2024-06-30
RL,18,2214082227,泰富富,香港屈地街20號地下,,2024-06-30
RL,18,2214086274,北園,香港上環安泰街7號 康威花園地下部份及1樓,,2024-06-30
RL,18,2214094190,東南,香港西營盤第三街148號 地下D舖,,2024-06-30
RL,18,2214102088,友膳方,香港皇后大道西306號地下,,2024-09-02
RL,18,2214102635,藍山食坊,香港皇后大道西420號地下,,2024-10-21
RL,18,2214104039,光記,香港水街6號地下B舖,,2024-01-28
RL,18,2214104048,McDonald's,香港堅尼地城 士美非路12F-12G號 文光閣地下C(部份)，D舖及1樓部份,,2024-01-28
RL,18,2214104358,銘師傅潮州粉麵餐廳,香港正街1-7號地下1號舖,,2024-03-01
RL,18,2214104473,海南,香港山市街28號地下F座,#F#G#H,2024-03-12
RL,18,2214105528,鋿晶館,香港上環德輔道中287-291號 地下(部份)，1字樓至3字樓,#G#H,2024-06-30
RL,18,2214107108,海亮,香港德輔道西356號地下,,2024-10-08
RL,18,2214108101,Catering by Vivian,香港西營盤 第二街126號地下,,2024-12-10
RL,18,2214109706,大家樂,香港西營盤干諾道西186-191號 香港商業中心地下8、9號舖,,2024-03-30
RL,18,2214113444,Mugen Dai II Limited,香港第二街143號海昇大廈地下A1舖,,2024-12-23
RL,18,2214114003,大喜茶檔,香港華里7號地下,,2024-02-16
RL,18,2214114793,華叔,香港第二街129號地下,,2024-03-29
RL,18,2214114881,群記茶檔,香港德輔道西233號地下,,2024-04-07
RL,18,2214115325,科記,香港荷李活道198號祺安大廈地下G及F舖,,2024-04-28
RL,18,2214117455,摩登快餐,香港干諾道西168號地下1號舖,,2024-08-19
