TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE
RL,63,2263801059,小菜王,"G/F, NO. 43 FUK WING STREET, SHAM SHUI PO, KOWLOON",,2022-09-09
RL,63,2263801101,添好運點心專門店,"G/F & M/F., KA WUI BUILDING, NOS. 9-11 FUK WING  STREET, KOWLOON",#G#H,2022-10-10
RL,63,2263801156,飲食男女餐廳,"SHOP A, G/F, TRENDY CENTRE, 682-684 CASTLE PEAK ROAD, KOWLOON",,2022-11-07
RL,63,2263801299,滋潤棧,"G/F, 10 UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2023-02-26
RL,63,2263801305,金翠叉燒皇餐廳,"G/F, 124 FUK WA STREET, SHAM SHUI PO, KOWLOON",,2023-03-13
RL,63,2263801314,Ho Wong Company,"SHOP 307, 3/F, LEI CHENG UK SHOPPING CENTRE, LEI CHENG UK ESTATE, KOWLOON",,2023-03-18
RL,63,2263801332,新上海飯店,"PORTION C, PODIUM FLOOR, SHOP AT TOWER 30 & 31 STAGE III, MEI FOO SUN CHUEN, SHAM SHUI PO, KOWLOON",,2023-03-26
RL,63,2263801341,Sik Tak Lok Fastfood,"G/F, 124A PEI HO STREET, SHAM SHUI PO, KOWLOON",,2023-04-10
RL,63,2263801369,GLORIOUS CUISINE,"FLAT A  & MAJOR PORTION OF FLAT B, G/F, 31-33 SHEK KIP MEI STREET, SHAM SHUI PO, KOWLOON",,2023-04-21
RL,63,2263801396,愛文生,"GROUND FLOOR, 1B(FRONT PORTION) & 1C SHEK KIP MEI STREET, SHAM SHUI PO, KOWLOON",,2023-06-02
RL,63,2263801402,PO TAK CAFE RESTAURANT,"SHOP B, GROUND FLOOR, HING FUNG BLDG, 169-171 PEI HO STREET, SHAM SHUI PO, KOWLOON",,2023-06-11
RL,63,2263801439,梨興園韓國料理,"GROUND FLOOR, 151 UN CHAU STREET, SHAM SHUI PO, KOWLOON",,2023-07-08
RL,63,2263801448,大煲皇小廚,"SHOP NOS.CA3-4 & CA5, G/F, SMILING PLAZA, J/O 155-181 CASTLE PEAK ROAD,143-147 CAMP STREET & 162-164 PRATAS STREET, SHAM SHUI PO, KOWLOON",#G,2023-07-10
RL,63,2263801466,Fairwood Fast Food,"SHOP 125B-127, FIRST FLOOR, FU CHEONG SHOPPING CENTRE, SHAM MONG ROAD, SHAM SHUI PO, KOWLOON",,2023-07-27
RL,63,2263801518,Fifty Fifty,"SHOP C, G/F, 181 CASTLE PEAK ROAD, CHEUNG SHA WAN, KOWLOON",,2022-09-10
RL,63,2263801536,616牛肉火鍋專門店,"G/F, 21 POPLAR STREET, KOWLOON",,2022-09-22
RL,63,2263801554,小菜王,"G/F, 25A FUK WING STREET, SHAM SHUI PO, KOWLOON",,2022-10-05
RL,63,2263801572,A. KASHMIR CURRY HOUSE ALIBABA,"SHOP 116B, G/F, PEI HO STREET, SHAM SHUI PO, KOWLOON",,2022-10-30
